Timestamp,ENSEM_ENSAIA/Centrale mesure générale-energie active totale (kW-hr)
7 févr. 2024 11:00:28 CET,"71711,3"
7 févr. 2024 11:00:43 CET,"71711,6"
7 févr. 2024 11:00:58 CET,"71711,8"
7 févr. 2024 11:01:13 CET,"71712,0"
7 févr. 2024 11:01:28 CET,"71712,2"
7 févr. 2024 11:01:43 CET,"71712,5"
7 févr. 2024 11:01:59 CET,"71712,7"
7 févr. 2024 11:02:14 CET,"71713,0"
7 févr. 2024 11:02:29 CET,"71713,2"
7 févr. 2024 11:02:44 CET,"71713,5"
7 févr. 2024 11:02:59 CET,"71713,7"
7 févr. 2024 11:03:14 CET,"71714,0"
7 févr. 2024 11:03:29 CET,"71714,2"
7 févr. 2024 11:03:44 CET,"71714,5"
7 févr. 2024 11:03:59 CET,"71714,7"
7 févr. 2024 11:04:14 CET,"71715,0"
7 févr. 2024 11:04:29 CET,"71715,2"
7 févr. 2024 11:04:44 CET,"71715,5"
7 févr. 2024 11:04:59 CET,"71715,8"
7 févr. 2024 11:05:14 CET,"71716,0"
7 févr. 2024 11:05:29 CET,"71716,3"
7 févr. 2024 11:05:45 CET,"71716,6"
7 févr. 2024 11:06:00 CET,"71716,8"
7 févr. 2024 11:06:15 CET,"71717,1"
7 févr. 2024 11:06:30 CET,"71717,3"
7 févr. 2024 11:06:45 CET,"71717,6"
7 févr. 2024 11:07:00 CET,"71717,9"
